iter	Passed	Remaining
0	0	73
1	1	65
2	1	62
3	2	58
4	3	57
5	3	56
6	4	59
7	5	59
8	5	59
9	6	59
10	7	58
11	7	58
12	8	57
13	9	56
14	9	56
15	10	55
16	11	54
17	11	53
18	12	53
19	13	52
20	13	52
21	14	51
22	15	51
23	16	51
24	16	50
25	17	49
26	18	49
27	18	48
28	19	47
29	20	47
30	20	46
31	21	45
32	22	45
33	22	44
34	23	43
35	24	43
36	25	42
37	25	42
38	26	41
39	27	40
40	27	40
41	28	39
42	28	38
43	29	37
44	30	37
45	30	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	36	31
53	36	31
54	37	30
55	38	29
56	38	29
57	39	28
58	40	27
59	40	27
60	41	26
61	42	25
62	43	25
63	43	24
64	44	24
65	45	23
66	45	22
67	46	22
68	47	21
69	48	20
70	49	20
71	50	19
72	50	18
73	51	18
74	52	17
75	52	16
76	53	15
77	54	15
78	54	14
79	55	13
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	66	4
94	67	3
95	67	2
96	68	2
97	69	1
98	69	0
99	70	0
